Date,Truck Number,Well Number,Well Size,Base Color Avg Delta E,Base Color Max Delta E,Thermal Shock Avg Delta E,Thermal Shock Max Delta E,Max L Diff - Base to Shock,Max a Diff - Base to Shock,Max b Diff - Base to Shock,Max Delta E - Base to Shock,Raw image file,Thermal shock mask file,Pass (General Inspection),Thermal shock pixel count,% pixels in thermal shock,Notes
10/17/2024,111,1,6024,2.97606819,4.413626627,1.446429091,1.597811003,-4.32,-0.83,0.551,4.320578665,image_00069.jpg,image_00069_THERMAL_SHOCK.png,0,2725104,0.286082317,
10/17/2024,111,2,7024,2.979216127,4.362590973,3.506876941,5.547684202,-3.72,-3.72,-2.53,4.504420051,image_00070.jpg,image_00070_THERMAL_SHOCK.png,0,2558181,0.268558685,
10/17/2024,111,3,7024,3.308063419,3.905009603,3.108560441,6.520552124,-3.71,-4.79,-1.92,6.004240168,image_00071.jpg,image_00071_THERMAL_SHOCK.png,0,2860230,0.300267889,
10/17/2024,111,8,7024,3.335397057,3.626899502,2.69101337,5.180154438,-2.74,1.66,-3.46,3.918341486,image_00076.jpg,image_00076_THERMAL_SHOCK.png,0,2905509,0.305021293,
10/17/2024,111,9,7024,2.683958831,3.032672089,3.431949194,5.066626096,-1.27,-1.55,-3.8,4.125396951,image_00077.jpg,image_00077_THERMAL_SHOCK.png,0,2846589,0.298835852,
10/21/2024,111,1,7038,1.935968555,2.30939386,1.319939794,1.817965896,-3.26,-0.26,-0.95,3.398484957,image_00104.jpg,image_00104_THERMAL_SHOCK.png,1,2297433,0.163636193,
10/21/2024,111,2,7038,1.955888899,2.155226206,1.443027178,2.094325667,-3.43,-0.45,-0.93,3.549225268,image_00105.jpg,image_00105_THERMAL_SHOCK.png,1,2212266,0.157570117,
10/21/2024,111,3,7038,2.282105498,2.428044481,2.862753666,9.402414583,8.01,-0.42,-0.87,8.051266981,image_00106.jpg,image_00106_THERMAL_SHOCK.png,1,2805252,0.199805939,
10/21/2024,111,4,7038,2.196982535,2.280570104,1.306869679,1.628557644,-2.9,-0.29,-1.02,2.987005189,image_00107.jpg,image_00107_THERMAL_SHOCK.png,1,3165087,0.225435426,
10/21/2024,111,5,7038,2.1622857,2.237900802,1.232772824,1.458766602,-2.48,-0.26,-0.81,2.582711753,image_00108.jpg,image_00108_THERMAL_SHOCK.png,1,2960745,0.210881031,
10/21/2024,111,6,7038,2.274351538,2.51974205,1.386785044,1.865127341,-3.8,-0.44,-1.09,3.959696958,image_00109.jpg,image_00109_THERMAL_SHOCK.png,1,3844455,0.273823863,
10/21/2024,111,7,7038,1.966656584,2.182200724,1.418298346,1.580949082,-2.98,-0.33,-0.96,3.105768826,image_00110.jpg,image_00110_THERMAL_SHOCK.png,1,2357373,0.167905459,
10/29/2024,111,35,7024,1.434570982,1.809143444,7.75850609,11.85627682,2.24,-1.57,-12.24,12.30517371,image_00121.jpg,image_00121_THERMAL_SHOCK.png,0,2554641,0.268187055,Yellow Part
10/29/2024,111,36,7024,2.26460216,2.631691471,1.230963717,2.048731315,-4.28,-0.92,-1.54,4.465971339,image_00122.jpg,image_00122_THERMAL_SHOCK.png,0,2649084,0.278101712,Yellow Part
10/29/2024,111,37,7024,1.580358872,1.806377591,3.776320348,6.082450164,-1.42,0.78,-6.85,6.850948839,image_00123.jpg,image_00123_THERMAL_SHOCK.png,0,2108484,0.221349346,Yellow Part
10/29/2024,111,38,7024,1.618114815,1.700617535,5.298900401,7.684198071,2.63,0.44,-7.97,8.402249699,image_00124.jpg,image_00124_THERMAL_SHOCK.png,0,2787009,0.292581124,Yellow Part
