image_filepath,part_id,label,dE_max,dE_mean,op_agreement_gap,n_dropped_points,truck_number,date,well_number,well_size
training_set\images\image_00069.jpg,69,FAIL,2.2416543891765883,1.8134546337609665,0.0096863823024109,0,111.0,10/17/2024,1,7024
training_set\images\image_00070.jpg,70,FAIL,4.232756366895861,2.442865366135829,1.9617387215621416,1,111.0,10/17/2024,2,7024
training_set\images\image_00071.jpg,71,FAIL,5.708259426772409,2.5169544977999023,3.7390209519954345,0,111.0,10/17/2024,3,7024
training_set\images\image_00072.jpg,72,PASS,2.294705500705295,1.6187032486566082,0.4773278547748465,0,111.0,10/17/2024,4,7024
training_set\images\image_00073.jpg,73,PASS,3.2034525093914463,2.4296988953187904,0.3205964074378782,0,111.0,10/17/2024,5,7024
training_set\images\image_00074.jpg,74,PASS,2.758758258823071,1.959098736374048,0.5193157052844937,0,111.0,10/17/2024,6,7024
training_set\images\image_00075.jpg,75,PASS,2.073667726369915,1.4878421582347638,0.0753002798459825,0,111.0,10/17/2024,7,7024
training_set\images\image_00076.jpg,76,FAIL,2.7934877670485303,1.7258411453385636,0.3417748711681825,0,111.0,10/17/2024,8,7024
training_set\images\image_00077.jpg,77,FAIL,3.0360933946635225,1.9147289452693623,0.9379732703426836,0,111.0,10/17/2024,9,7024
training_set\images\image_00078.jpg,78,PASS,2.3266244141348285,1.4323293596537223,0.7107609935775283,0,111.0,10/18/2024,10,7024
training_set\images\image_00079.jpg,79,PASS,2.8601054111181505,1.5513067964190068,0.7645944409042666,0,111.0,10/18/2024,11,7024
training_set\images\image_00080.jpg,80,PASS,2.4087070659591245,1.7177354144168238,0.1663327817719859,0,111.0,10/18/2024,12,7024
training_set\images\image_00081.jpg,81,PASS,2.720789729706061,1.868544478403097,0.704402353074268,0,111.0,10/18/2024,13,7024
training_set\images\image_00082.jpg,82,PASS,2.917225070876717,2.620121923546761,0.1726031842695103,0,111.0,10/18/2024,14,7024
training_set\images\image_00083.jpg,83,PASS,3.1365488742766794,1.878156955004049,1.5082002598013704,1,111.0,10/18/2024,15,7024
training_set\images\image_00084.jpg,84,PASS,1.954633740259104,1.4345056094167086,0.3359548517832711,0,111.0,10/18/2024,16,7024
training_set\images\image_00085.jpg,85,PASS,1.7912593895208788,1.5178753929883335,0.0146266411336097,0,111.0,10/18/2024,17,7024
training_set\images\image_00086.jpg,86,PASS,1.44435508882391,0.8515716857590369,0.552379218635222,0,111.0,10/18/2024,18,7024
training_set\images\image_00087.jpg,87,PASS,2.728254985055925,1.790778175686036,0.751830809716703,0,111.0,10/18/2024,19,7024
training_set\images\image_00089.jpg,89,PASS,2.242809509210499,1.825076679621476,0.2061157793060211,0,111.0,10/21/2024,20,7024
training_set\images\image_00090.jpg,90,PASS,2.0597337005485192,1.528528532227264,0.2673645089786167,0,111.0,10/21/2024,21,7024
training_set\images\image_00091.jpg,91,PASS,2.2178459335861778,1.9166668033588632,0.1791487983056305,0,111.0,10/21/2024,22,7024
training_set\images\image_00092.jpg,92,PASS,4.02357611737532,1.9000447077108336,1.5642159260104331,0,111.0,10/21/2024,23,7024
training_set\images\image_00093.jpg,93,PASS,2.914717798054555,1.7296369385782615,0.6884796867651475,0,111.0,10/21/2024,24,7024
training_set\images\image_00094.jpg,94,PASS,1.733823270579698,1.5703212715915649,0.0918839827944018,0,111.0,10/21/2024,25,7024
training_set\images\image_00095.jpg,95,PASS,2.7922688320627,1.629490928304121,0.5621154367587295,0,111.0,10/21/2024,26,7024
training_set\images\image_00096.jpg,96,PASS,2.0911055942627903,1.4432606152170528,0.0612662167968092,0,111.0,10/21/2024,27,7024
training_set\images\image_00098.jpg,98,PASS,2.2453663319797164,1.578517099797116,0.2362684817893625,0,111.0,10/21/2024,28,7024
